0,1,2,3,4,5,6,7
41,HOTEL DUTA NANSARUNAI,MELATI,30,30,"Jln. Tjilik Riwut Km. 5,5","AC, TV, Lemari",0536-3231427
42,HOTEL RATAMA,MELATI,26,36,Jln. Tjilik Riwut Km 4 P.Raya,–,0536-4200397
43,HOTEL ANISA DINA,MELATI,35,35,Jln. A.Yani No. 99 P.Raya,–,0536-3234906
44,HOTEL PUTRA MANTYA,MELATI,10,10,Jln. Sulawesi No. 8A P.Raya,–,081349235899
45,HOTEL AMAN,MELATI,21,22,Jln. Galaxsi II No. 9 P.Raya,–,0536-3227258
46,HOTEL BATU SULI,MELATI,64,110,Jln. Raden Saleh No. 1 P.Raya,"Ruang Rapat, Restoran, laundry",0536-3238369
47,HOTEL FAIRUS,MELATI,20,21,Jln. Damang Leman No.9 P.Raya,"Ruang Rapat, Restorant, Aula",0536-3222147
48,HOTEL ANDO RAYA,MELATI,38,51,Jln.Yosudarso,"Restorant, Ruang Rapat, Kolam Renang",082255930707
49,PENGINAPAN ECO VILAGE,MELATI,,,Jln.Cilik Riwut Km 36 P.Raya,–,0536-3317777
50,PENGINAPAN BENUA LIMA RAYA,MELATI,10,10,Jln. Tjilik Riwut,"Kipas Angin, TV, AC, lemari",0536 3275709
51,PENGINAPAN BRAVO,MELATI,12,12,Jln.Tjilik Riwut Km 12 P.Raya,"TV,AC,Kulkas,Lemari",082157935990
52,HOTEL ADIDAS,MELATI,26,26,Jln. A.yani,–,0536-3221770/3221771
53,HOTEL BARITO SWEET SHINTA,MELATI,22,40,"Jln. RTA Milono Km. 4,5","Ruang Rapat, Restorant, Kolam Renang, Laundry",0536-3226800
54,HOTEL BINTANG HARAPAN,MELATI,–,–,Jln. A.Yani/ Flamboyan bawah,–,–
55,HOTEL NIRWANA,MELATI,14,14,Jln. RTA Milono,–,–
56,HOTEL PELNGI,MELATI,31,31,Jln. Adonis Samad No. 1,–,0536-22719
57,HOTEL PALANGKA,MELATI,60,60,Jln. G.Obos,–,–
58,HOTEL CEMPAKA KUIN,MELATI,12,–,Jln. Bali No. 11,–,0536-3221891
59,HOTEL NYAI RINDANG,MELATI,11,11,Jln. Tjilik Riwut Km. 11,–,0536-3309867
60,LOSMEN PAYANG,LOSMEN,18,18,Jln. Jawa No. 063 P.Raya,–,0536-3221424
61,LOSMEN CANTIK,LOSMEN,32,39,Jln. Halmahera No. 22 P.Raya,"AC, TV, WIFI dan Londry",0536-3222399
