parent_id,judul,tipe_dokumen,kelompok,kategori,sumber,tanggal,url_sumber,file_asal,file_upload,sha256,ukuran_byte,jumlah_baris_data,siap_upload
deskriptif__objek_wisata__pesona_pura_sali_paseban_batu_harmoni_alam_budaya_dan_spiritualitas_dalam_satu_destinasi,"Pesona Pura Sali Paseban Batu, Harmoni Alam, Budaya, dan Spiritualitas dalam Satu Destinasi",pdf,deskriptif,objek_wisata,post,2026-07-12,https://disparbudpora.palangkaraya.go.id/pesona-pura-sali-paseban-batu-harmoni-alam-budaya-dan-spiritualitas-dalam-satu-destinasi/,deskriptif/objek_wisata/pesona_pura_sali_paseban_batu_harmoni_alam_budaya_dan_spiritualitas_dalam_satu_destinasi.pdf,documents/deskriptif/objek_wisata/pesona_pura_sali_paseban_batu_harmoni_alam_budaya_dan_spiritualitas_dalam_satu_destinasi.pdf,bcabb9cf21495da0229a0032f532fe47a042c3f4d456c9020c64aa5e6b3d0969,6896,,ya
deskriptif__artikel_dan_berita__melalui_gerakan_asri_disparbudpora_tingkatkan_kebersihan_dan_daya_tarik_wisata_air_hitam_kereng_bangkirai,"Melalui Gerakan ASRI, DISPARBUDPORA Tingkatkan Kebersihan dan Daya Tarik Wisata Air Hitam Kereng Bangkirai",pdf,deskriptif,artikel_dan_berita,post,2026-07-11,https://disparbudpora.palangkaraya.go.id/melalui-gerakan-asri-disparbudpora-tingkatkan-kebersihan-dan-daya-tarik-wisata-air-hitam-kereng-bangkirai/,deskriptif/artikel_dan_berita_pariwisata/melalui_gerakan_asri_disparbudpora_tingkatkan_kebersihan_dan_daya_tarik_wisata_air_hitam_kereng_bangkirai.pdf,documents/deskriptif/artikel_dan_berita/melalui_gerakan_asri_disparbudpora_tingkatkan_kebersihan_dan_daya_tarik_wisata_air_hitam_kereng_bangkirai.pdf,5c3c99795e2458ddea17475646083954c33648e0675a9a64bfd6621950e7b066,6395,,ya
deskriptif__budaya_dan_cagar_budaya__batang_haring_hingga_lawang_sakepeng_kebanggaan_palangka_raya_raih_status_wbtb_indonesia_2026,"Batang Haring hingga Lawang Sakepeng, Kebanggaan Palangka Raya Raih Status WBTb Indonesia 2026",pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-07-07,https://disparbudpora.palangkaraya.go.id/batang-haring-hingga-lawang-sakepeng-kebanggaan-palangka-raya-raih-status-wbtb-indonesia-2026/,deskriptif/budaya_dan_cagar_budaya/batang_haring_hingga_lawang_sakepeng_kebanggaan_palangka_raya_raih_status_wbtb_indonesia_2026.pdf,documents/deskriptif/budaya_dan_cagar_budaya/batang_haring_hingga_lawang_sakepeng_kebanggaan_palangka_raya_raih_status_wbtb_indonesia_2026.pdf,3394233c8830faa38af1ef49958a7b8f66a26f17d8f3c1441ca131d05630808f,7308,,ya
deskriptif__objek_wisata__menengok_lapangan_golf_isen_mulang_oase_hijau_dan_pusat_olahraga_bersejarah_di_palangka_raya,Menengok Lapangan Golf Isen Mulang: Oase Hijau dan Pusat Olahraga Bersejarah di Palangka Raya,pdf,deskriptif,objek_wisata,post,2026-07-06,https://disparbudpora.palangkaraya.go.id/menengok-lapangan-golf-isen-mulang-oase-hijau-dan-pusat-olahraga-bersejarah-di-palangka-raya/,deskriptif/objek_wisata/menengok_lapangan_golf_isen_mulang_oase_hijau_dan_pusat_olahraga_bersejarah_di_palangka_raya.pdf,documents/deskriptif/objek_wisata/menengok_lapangan_golf_isen_mulang_oase_hijau_dan_pusat_olahraga_bersejarah_di_palangka_raya.pdf,507d4e1161fe8e786c1084b787edd0e37a7c37dfb6fb55412f4c2a724828a988,5802,,ya
deskriptif__artikel_dan_berita__bidang_pariwisata_disparbudpora_turut_sukseskan_gerakan_asri_di_koridor_jalan_tjilik_riwut,Bidang Pariwisata DISPARBUDPORA Turut Sukseskan Gerakan ASRI di Koridor Jalan Tjilik Riwut,pdf,deskriptif,artikel_dan_berita,post,2026-07-03,https://disparbudpora.palangkaraya.go.id/bidang-pariwisata-disparbudpora-turut-sukseskan-gerakan-asri-di-koridor-jalan-tjilik-riwut/,deskriptif/artikel_dan_berita_pariwisata/bidang_pariwisata_disparbudpora_turut_sukseskan_gerakan_asri_di_koridor_jalan_tjilik_riwut.pdf,documents/deskriptif/artikel_dan_berita/bidang_pariwisata_disparbudpora_turut_sukseskan_gerakan_asri_di_koridor_jalan_tjilik_riwut.pdf,dd3bdaece9c5cd49de21409cd2d3da54e6ce90e32d2917ee4ed9fee701d3e5a4,7599,,ya
deskriptif__artikel_dan_berita__5_wisata_favorit_untuk_libur_sekolah_di_palangka_raya_yang_seru_dan_edukatif_untuk_keluarga,5 Wisata Favorit untuk Libur Sekolah di Palangka Raya yang Seru dan Edukatif untuk Keluarga,pdf,deskriptif,artikel_dan_berita,post,2026-07-02,https://disparbudpora.palangkaraya.go.id/5-wisata-favorit-untuk-libur-sekolah-di-palangka-raya-yang-seru-dan-edukatif-untuk-keluarga/,deskriptif/artikel_dan_berita_pariwisata/5_wisata_favorit_untuk_libur_sekolah_di_palangka_raya_yang_seru_dan_edukatif_untuk_keluarga.pdf,documents/deskriptif/artikel_dan_berita/5_wisata_favorit_untuk_libur_sekolah_di_palangka_raya_yang_seru_dan_edukatif_untuk_keluarga.pdf,ee595a4481e243b8785e466814c134b5b69ea4d83794f01fa06dcb82150eec2a,7537,,ya
deskriptif__artikel_dan_berita__menjelajah_gambut_palangka_raya_seru_edukatif_dan_penuh_kejutan_alam,"Menjelajah Gambut Palangka Raya: Seru, Edukatif, dan Penuh Kejutan Alam",pdf,deskriptif,artikel_dan_berita,post,2026-06-29,https://disparbudpora.palangkaraya.go.id/menjelajah-gambut-palangka-raya-seru-edukatif-dan-penuh-kejutan-alam/,deskriptif/artikel_dan_berita_pariwisata/menjelajah_gambut_palangka_raya_seru_edukatif_dan_penuh_kejutan_alam.pdf,documents/deskriptif/artikel_dan_berita/menjelajah_gambut_palangka_raya_seru_edukatif_dan_penuh_kejutan_alam.pdf,c9c330c6222c43f2465636677f9f6645a73b594d72895f5b20074d47660709d9,5606,,ya
deskriptif__artikel_dan_berita__mau_liburan_ke_palangka_raya_simak_tips_hemat_agar_kantong_tetap_aman,Mau Liburan ke Palangka Raya? Simak Tips Hemat Agar Kantong Tetap Aman,pdf,deskriptif,artikel_dan_berita,post,2026-06-28,https://disparbudpora.palangkaraya.go.id/mau-liburan-ke-palangka-raya-simak-tips-hemat-agar-kantong-tetap-aman/,deskriptif/artikel_dan_berita_pariwisata/mau_liburan_ke_palangka_raya_simak_tips_hemat_agar_kantong_tetap_aman.pdf,documents/deskriptif/artikel_dan_berita/mau_liburan_ke_palangka_raya_simak_tips_hemat_agar_kantong_tetap_aman.pdf,69a574c102a224a5419ace3fbb1e7c3b25455e7c17cb2569f1a3bed93282f56b,7205,,ya
deskriptif__budaya_dan_cagar_budaya__disparbudpora_palangka_raya_bekali_pelajar_sman_2_informasi_cagar_budaya_untuk_lomba_video_kreatif_kementerian_kebudayaa,DISPARBUDPORA Palangka Raya Bekali Pelajar SMAN 2 Informasi Cagar Budaya untuk Lomba Video Kreatif Kementerian Kebudayaan,pdf,deskriptif,budaya_dan_cagar_budaya,post,2026-06-26,https://disparbudpora.palangkaraya.go.id/disparbudpora-palangka-raya-bekali-pelajar-sman-2-informasi-cagar-budaya-untuk-lomba-video-kreatif-kementerian-kebudayaan/,deskriptif/budaya_dan_cagar_budaya/disparbudpora_palangka_raya_bekali_pelajar_sman_2_informasi_cagar_budaya_untuk_lomba_video_kreatif_kementerian_kebudayaa.pdf,documents/deskriptif/budaya_dan_cagar_budaya/disparbudpora_palangka_raya_bekali_pelajar_sman_2_informasi_cagar_budaya_untuk_lomba_video_kreatif_kementerian_kebudayaa.pdf,ced6cc655e842fc2bd29030dd5b9819767dfce0a47130dea85736acf2d2780aa,6683,,ya
deskriptif__artikel_dan_berita__sinergi_pemko_dan_upa_plg_upr_kembangkan_sebangau_sebagai_pusat_ekowisata_pendidikan_gambut,Sinergi Pemko dan UPA PLG UPR Kembangkan Sebangau sebagai Pusat Ekowisata Pendidikan Gambut,pdf,deskriptif,artikel_dan_berita,post,2026-06-25,https://disparbudpora.palangkaraya.go.id/sinergi-pemko-dan-upa-plg-upr-kembangkan-sebangau-sebagai-pusat-ekowisata-pendidikan-gambut/,deskriptif/artikel_dan_berita_pariwisata/sinergi_pemko_dan_upa_plg_upr_kembangkan_sebangau_sebagai_pusat_ekowisata_pendidikan_gambut.pdf,documents/deskriptif/artikel_dan_berita/sinergi_pemko_dan_upa_plg_upr_kembangkan_sebangau_sebagai_pusat_ekowisata_pendidikan_gambut.pdf,b9afc2fb33882bb28d2af9fd9c684b47b5a979b64523835c5984934a11200dee,7914,,ya
