judul,jenis_output,fungsi_folder,url_sumber,file_output,alasan
Data Kunjungan Wisatawan 2025,pdf_asli,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/wp-content/uploads/sites/39/2026/02/Data-kunjungan-tahun-2025.pdf,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\dokumen_asli_pdf\data_kunjungan_tahun_2025.pdf,raw_source_pdf
DATA KUNJUNGAN WISATA 2024,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata-2024/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata_2024.pdf,tabular_prefers_csv
DATA KUNJUNGAN WISATA 2023,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata-2023/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata_2023.pdf,tabular_prefers_csv
DATA KUNJUNGAN WISATA 2022,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata-2022/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata_2022.pdf,tabular_prefers_csv
DATA KUNJUNGAN WISATA,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata.pdf,tabular_prefers_csv
DATA KUNJUNGAN WISATA 2016,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata-2016/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata_2016.pdf,tabular_prefers_csv
DATA KUNJUNGAN WISATA 2017,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata-2017/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata_2017.pdf,tabular_prefers_csv
DATA KUNJUNGAN WISATA 2020,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata-2020/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata_2020.pdf,tabular_prefers_csv
DATA KUNJUNGAN WISATA 2021,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata-2021/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata_2021.pdf,tabular_prefers_csv
DATA KUNJUNGAN WISATA 2019,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata-2019/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata_2019.pdf,tabular_prefers_csv
DATA KUNJUNGAN WISATA 2018,pdf_ringkasan,tabular/data_kunjungan_wisata,https://disparbudpora.palangkaraya.go.id/data-kunjungan-wisata-2018/,d:\Nurdin\Skripsi Sheila\knowledge\tabular/data_kunjungan_wisata\data_kunjungan_wisata_2018.pdf,tabular_prefers_csv
